Unsorted Input Size, Insert, Quick, Heap, Merge,
100,0.000021,0.000015,0.000024,0.000027,
500,0.000392,0.000084,0.000132,0.000166,
1000,0.001510,0.000174,0.000287,0.000369,
2000,0.006181,0.000380,0.000629,0.000820,
5000,0.034169,0.000874,0.001457,0.001861,
8000,0.069345,0.001119,0.001753,0.002400,
10000,0.083126,0.001067,0.001778,0.002418,
Sorted Input Size, Insert, Quick, Heap, Merge,
100,0.000001,0.000003,0.000008,0.000013,
500,0.000002,0.000012,0.000041,0.000076,
1000,0.000004,0.000023,0.000089,0.000168,
2000,0.000010,0.000050,0.000191,0.000367,
5000,0.000023,0.000148,0.000522,0.001019,
8000,0.000037,0.000231,0.000836,0.001644,
10000,0.000045,0.000305,0.001076,0.002102,
